rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0074.jpg,29.6,0.7162,0.5182,0.8571,1.0,6,6,False,True
2,frame_0289.jpg,115.6,0.7095,0.8579,0.4286,0.76,3,3,False,True
3,frame_0070.jpg,28.0,0.6938,0.6447,0.5714,1.0,4,4,False,False
4,frame_0376.jpg,150.4,0.6733,0.7683,0.8571,0.16,6,6,False,True
5,frame_0130.jpg,52.0,0.6071,0.5891,0.4286,0.92,3,3,False,True
6,frame_0073.jpg,29.2,0.6066,0.4703,0.5714,1.0,5,4,False,False
7,frame_0122.jpg,48.8,0.6059,0.6289,0.5714,0.6,4,4,False,True
8,frame_0000.jpg,0.0,0.6029,0.463,0.5714,1.0,5,4,False,True
9,frame_0291.jpg,116.4,0.5896,0.5003,0.5714,0.84,6,4,False,False
10,frame_0387.jpg,154.8,0.5893,0.4986,1.0,0.2,9,7,False,True
11,frame_0079.jpg,31.6,0.584,0.5052,0.5714,0.8,5,4,False,True
12,frame_0129.jpg,51.6,0.5648,0.5204,0.4286,0.88,5,3,False,False
13,frame_0024.jpg,9.6,0.5577,0.6296,0.1429,1.0,1,1,False,True
14,frame_0072.jpg,28.8,0.5553,0.5391,0.2857,1.0,5,2,False,False
15,frame_0276.jpg,110.4,0.5518,0.5791,0.7143,0.24,6,5,False,True
16,frame_0076.jpg,30.4,0.5503,0.4754,0.4286,0.92,4,3,False,False
17,frame_0069.jpg,27.6,0.5498,0.4424,0.4286,1.0,4,3,False,True
18,frame_0008.jpg,3.2,0.5493,0.4415,0.4286,1.0,3,3,False,True
19,frame_0210.jpg,84.0,0.5469,0.6503,0.2857,0.68,2,2,False,False
20,frame_0071.jpg,28.4,0.5432,0.4293,0.4286,1.0,5,3,False,False
21,frame_0077.jpg,30.8,0.5426,0.476,0.4286,0.88,6,3,False,False
22,frame_0377.jpg,150.8,0.5411,0.6056,0.7143,0.12,6,5,False,False
23,frame_0286.jpg,114.4,0.5352,0.5572,0.4286,0.64,4,3,False,False
24,frame_0285.jpg,114.0,0.5335,0.5699,0.4286,0.6,4,3,False,False
25,frame_0384.jpg,153.6,0.532,0.5714,0.7143,0.16,6,5,False,False
26,frame_0375.jpg,150.0,0.5312,0.6396,0.5714,0.2,7,4,False,False
27,frame_0015.jpg,6.0,0.5294,0.4874,0.2857,1.0,3,2,False,False
28,frame_0330.jpg,132.0,0.5251,0.6056,0.7143,0.04,7,5,False,False
29,frame_0290.jpg,116.0,0.5184,0.4596,0.4286,0.8,4,3,False,False
30,frame_0298.jpg,119.2,0.5169,0.4669,0.5714,0.56,7,4,False,False
31,frame_0112.jpg,44.8,0.5132,0.6892,0.4286,0.2,3,3,False,False
32,frame_0175.jpg,70.0,0.5105,0.5662,0.5714,0.28,4,4,False,False
33,frame_0031.jpg,12.4,0.5026,0.3481,0.4286,1.0,6,3,False,False
34,frame_0127.jpg,50.8,0.5007,0.3386,0.5714,0.8,5,4,False,False
35,frame_0029.jpg,11.6,0.4996,0.4277,0.2857,1.0,4,2,False,False
36,frame_0297.jpg,118.8,0.4981,0.4991,0.4286,0.6,5,3,False,False
37,frame_0023.jpg,9.2,0.4972,0.5086,0.1429,1.0,1,1,False,False
38,frame_0007.jpg,2.8,0.4924,0.3276,0.4286,1.0,4,3,False,False
39,frame_0030.jpg,12.0,0.4883,0.4051,0.2857,1.0,7,2,False,False
40,frame_0025.jpg,10.0,0.4871,0.4884,0.1429,1.0,1,1,False,False
41,frame_0067.jpg,26.8,0.4868,0.3164,0.4286,1.0,6,3,False,False
42,frame_0002.jpg,0.8,0.4867,0.3162,0.4286,1.0,5,3,False,False
43,frame_0294.jpg,117.6,0.4844,0.4236,0.4286,0.72,5,3,False,False
44,frame_0287.jpg,114.8,0.4814,0.4337,0.4286,0.68,5,3,False,False
45,frame_0292.jpg,116.8,0.4793,0.3814,0.4286,0.8,5,3,False,False
46,frame_0386.jpg,154.4,0.4785,0.4324,0.7143,0.24,6,5,False,False
47,frame_0397.jpg,158.8,0.4785,0.5342,0.5714,0.2,6,4,False,False
48,frame_0020.jpg,8.0,0.4763,0.3811,0.2857,1.0,3,2,False,False
49,frame_0299.jpg,119.6,0.4732,0.3956,0.5714,0.52,5,4,False,False
50,frame_0373.jpg,149.2,0.4716,0.5364,0.5714,0.16,8,4,False,False
51,frame_0010.jpg,4.0,0.4704,0.455,0.1429,1.0,1,1,False,False
52,frame_0394.jpg,157.6,0.4704,0.6517,0.4286,0.08,3,3,False,False
53,frame_0211.jpg,84.4,0.4701,0.5127,0.2857,0.64,2,2,False,False
54,frame_0317.jpg,126.8,0.4696,0.5164,0.5714,0.2,5,4,False,False
55,frame_0095.jpg,38.0,0.4682,0.4438,0.7143,0.16,5,5,False,False
56,frame_0075.jpg,30.0,0.4661,0.3767,0.2857,0.96,6,2,False,False
57,frame_0288.jpg,115.2,0.4656,0.4717,0.2857,0.72,4,2,False,False
58,frame_0332.jpg,132.8,0.4651,0.5714,0.5714,0.04,5,4,False,False
59,frame_0186.jpg,74.4,0.4645,0.4844,0.7143,0.04,7,5,False,False
60,frame_0005.jpg,2.0,0.4643,0.3572,0.2857,1.0,4,2,False,False
61,frame_0168.jpg,67.2,0.4631,0.5307,0.2857,0.56,4,2,False,False
62,frame_0126.jpg,50.4,0.4623,0.4491,0.2857,0.76,6,2,False,False
63,frame_0082.jpg,32.8,0.4599,0.562,0.1429,0.68,1,1,False,False
64,frame_0216.jpg,86.4,0.4597,0.5719,0.2857,0.44,2,2,False,False
65,frame_0131.jpg,52.4,0.4589,0.3623,0.2857,0.96,3,2,False,False
66,frame_0329.jpg,131.6,0.4568,0.6244,0.4286,0.08,7,3,False,False
67,frame_0169.jpg,67.6,0.4554,0.4456,0.4286,0.52,6,3,False,False
68,frame_0318.jpg,127.2,0.4554,0.472,0.5714,0.24,7,4,False,False
69,frame_0224.jpg,89.6,0.4519,0.6844,0.2857,0.12,3,2,False,False
70,frame_0089.jpg,35.6,0.4508,0.3988,0.5714,0.4,4,4,False,False
71,frame_0284.jpg,113.6,0.4498,0.5042,0.2857,0.56,5,2,False,False
72,frame_0328.jpg,131.2,0.4495,0.4384,0.7143,0.08,8,5,False,False
73,frame_0277.jpg,110.8,0.4493,0.4438,0.5714,0.28,5,4,False,False
74,frame_0001.jpg,0.4,0.4462,0.4066,0.1429,1.0,6,1,False,False
75,frame_0078.jpg,31.2,0.4433,0.3791,0.2857,0.84,4,2,False,False
